"","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","F1","F2","F3","G1","G2","G3","H1","H2","H3","I1","I2","I3"
"AGRP",5.6259880479513,5.31052308856534,5.47527156874068,5.78462228809756,5.59043391678023,5.33452997234953,5.44352344860486,5.83880610024617,5.5033195736599,5.78035306337109,5.79530372425576,5.4978164838157,5.47122638296181,5.66750167382083,5.53546067165035,5.42805644173892,5.45620314673959,5.63549891541055,5.58295879154213,5.57205709161655,5.91484226987194,5.36590040348797,5.7025934851233,5.53170088857408,5.52341136624083,5.71046843978064
"AGXT2",5.72467892338232,5.65395402590189,5.62659803155266,5.89577253458305,5.40057787505862,5.64392051368412,5.60152819423874,5.56086934638276,5.54755597154625,5.3264827857143,5.49463351900125,5.49975722341626,5.33818301874714,5.40411637100878,5.57204801529782,5.44747538003613,5.52677800303202,5.55293374650218,5.52037314896764,5.36378832925958,5.56317295067368,5.39074104029534,5.78750441179897,5.57750910217502,5.78636272168561,5.55868281552631
"AIG1",5.59493697288565,5.79363490535121,5.92868737712684,5.76478133861837,5.94433533624995,5.92971577489743,5.93630032719751,5.87679960651769,5.74884619890758,5.86537884645979,5.8512312133455,5.74043536386725,5.78045742379019,5.72154174086905,5.58564143775634,5.6677545962078,5.67728419690595,5.44422893396329,5.43045869077359,5.55263432168302,5.21196017494869,5.40822394411025,5.40462436531045,5.36864789753188,5.42407666066358,5.2477388050896
"AK8",7.02657741028764,7.97656973517096,7.16620507333359,7.18499271928717,7.15740700923661,7.16298153215702,6.94374802187417,7.20367719101275,6.95678427920662,6.92869864873536,7.15628339146715,6.84380110822077,6.97976406089619,6.91840377257658,6.97958830667386,6.80639493125839,7.00859376272359,6.77437500633705,6.64227267015017,6.65361697507503,6.76225841308074,6.58396392600388,6.98110400969804,6.92797916680038,6.84504629914881,6.79270022389319
"AKR1E2",5.94800365117503,5.85927642891599,6.00305317319782,6.12135255532071,6.14682842075364,5.80497755639656,6.0141998608598,6.13035594868376,5.83733202850476,5.87537698640668,6.11221126976576,5.85010142217937,6.05699953878982,5.86672192096359,5.80019326141725,5.8871699224911,5.957927836871,5.72149069959701,5.9437002192114,5.63439505159787,5.94399122617426,5.82631373170908,5.85747768901909,6.0780715308578,6.04568866424345,6.06032846261274
"ANGPTL2",4.94875965320088,4.64622823890996,4.6167110234362,5.02333070711623,4.68593119211289,4.57375862599925,4.80131711214087,4.72219505327066,4.66462610361428,4.68920236116164,4.61926764852231,4.77929912587153,4.71102953973288,4.60112076000947,4.76738429831899,4.81138806707152,4.91096090220533,4.6801820926627,4.80651523341978,4.78925236494452,5.13667063792971,4.83516545827899,4.87962573821586,4.74133588034927,4.77671970771652,4.59329546116149
"ANKRD33B",6.03990204533409,5.98368446356669,5.95663635086738,5.67536054411644,5.88799679400115,5.88118700282987,6.32554184187396,6.15670780331542,5.33382741370137,5.63261546272072,5.60648765414567,5.43756456736228,5.193776066815,5.3925856448181,5.34367737009817,5.41400232666135,5.42352727892153,5.4524245884155,5.30577336043129,5.22767594959397,5.73770051616716,5.07209356250103,5.49501234859545,5.22784454571154,5.35436195813756,5.21326788339695
"ANKRD36B",7.50374616286008,7.36442996401654,7.54075239497691,7.45875215018437,7.2867113182618,7.14418288676047,7.28625724111993,7.23490358057822,7.3780931918142,7.57988775910331,7.22518071963459,7.40475677323272,6.83443167505684,7.05094569380516,7.26741982399636,7.7498167943723,7.460010933902,7.4590801247818,7.19033186433376,8.17202557828699,7.81022005240272,7.89871340562709,7.72085487620971,7.31360469388522,7.17608618467326,7.71858921842951
"ANKRD44",4.64941532254592,4.58267059404242,4.46167954854506,4.5104282093342,4.43919365099682,4.64718302774485,4.54687561706874,4.39453583696299,4.78930243106993,4.50725380652256,4.41530400879643,5.2426182842782,4.90709205933277,4.84194573354727,5.18803285288465,4.97424048677487,5.39015902226668,4.96162631558971,4.98912740375511,5.16791801787611,4.64639697549631,4.99431639477489,4.79404995052207,4.60046523002985,4.66193282369434,4.86453353025514
"ANKRD45",4.13159098024379,4.12277730423571,4.16206354650474,4.55475655500679,4.16953392108635,4.13957256381504,4.25830956328763,4.16322767132741,3.89269203702426,4.19695181839474,4.09543753722117,4.22209013600391,4.13759611586749,4.08823001330593,4.20186681019583,4.09483438097126,4.20922273025504,4.07711437036751,4.25556912321996,4.08063102653396,4.35506310417855,4.08934270025842,4.17628084661525,4.16892125685774,4.06214347900078,4.09869005460286
